Ad ID ,Category ,Locations ,Car Makes,Car Model,Year,Tax Type,Condition,Body Type,Fuel,Transmission,Color,Link,Title,Price,Year Used
7516096,Cars for Sale,Phnom Penh,Toyota,Alphard,2015.0,Tax Paper,Used,MPV (Minivan),Petrol,Auto,White,https://www.khmer24.com/en/cars/toyota-alphard-2015-adid-7516096.html,TOYOTA ALPHARD 2015,"$79,500 ",8.0
9496653,Cars for Sale,Phnom Penh,Toyota,Highlander,2001.0,Plate Number,Used,SUV,Petrol,Auto,Gold,https://www.khmer24.com/en/cars/%E1%9E%98%E1%9E%81%E1%9E%80%E1%9E%9A%E1%9E%99-%E1%9E%90%E1%9E%98%E1%9E%98%E1%9E%93%E1%9E%8A%E1%9E%9B%E1%9E%87%E1%9E%94%E1%9E%91-2001-%E1%9E%94%E1%9E%84%E1%9E%98%E1%9E%99-adid-9496653.html,មុខ​ក្រោយ​ ថ្មី​មិនដែល​ជួប​ទេ​ 2001 ប៉ុងមួយ​,"$13,300 ",22.0
9529811,Cars for Sale,Phnom Penh,Lexus,RX330,2005.0,Plate Number,Used,Pickup,Petrol,Auto,Silver,https://www.khmer24.com/en/cars/%E1%9E%A1%E1%9E%93%E1%9E%91%E1%9E%89%E1%9E%98%E1%9E%80%E1%9E%98%E1%9E%93%E1%9E%8A%E1%9E%9B%E1%9E%87-%E1%9E%85%E1%9E%84%E1%9E%9B%E1%9E%80%E1%9E%9C%E1%9E%89-rx330-2005-p1-h-full-%E1%9E%A2%E1%9E%80%E1%9E%9A%E1%9E%84%E1%9E%92-adid-9529811.html,ឡាន​ទិញ​មក​មិន​ដែល​ជិះ​ ចង់​លក់​វិញ​ Rx330 2005 p1 H-full  អេក្រង់​ធំ​,"$22,500 ",18.0
8876981,Cars for Sale,Phnom Penh,Toyota,Corolla Altis,1996.0,Plate Number,Used,SUV,Petrol,Auto,Gold,https://www.khmer24.com/en/cars/%E1%9E%81%E1%9E%89%E1%9E%9B%E1%9E%80%E1%9E%9A%E1%9E%90%E1%9E%99%E1%9E%93%E1%9E%8Fcorolla-%E1%9E%94%E1%9E%93%E1%9E%91%E1%9E%93%E1%9E%86%E1%9E%9396-%E1%9E%96%E1%9E%8E%E1%9E%98%E1%9E%9F-adid-8876981.html,ខ្ញុំលក់រថយន្តcorolla បន្ទាន់ឆ្នាំ96 ពណ៌មាស ,"$3,000 ",27.0
9333675,Cars for Sale,Phnom Penh,Toyota,Camry,1999.0,Plate Number,Used,Other,Petrol,,Green,https://www.khmer24.com/en/cars/camry-le-99-%E1%9E%A2%E1%9E%85%E1%9E%94%E1%9E%84%E1%9E%9A%E1%9E%9B%E1%9E%94%E1%9E%93-%E1%9E%9F%E1%9E%94%E1%9E%80%E1%9E%AA%E1%9E%A1%E1%9E%80-%E1%9E%80%E1%9E%93%E1%9E%84%E1%9E%9B%E1%9E%84-%E1%9E%A1%E1%9E%93%E1%9E%9F%E1%9E%A2%E1%9E%8F-%E1%9E%98%E1%9E%93%E1%9E%98%E1%9E%93%E1%9E%94%E1%9E%80%E1%9E%94-%E1%9E%91%E1%9E%80%E1%9E%90%E1%9E%9380-adid-9333675.html,Camry Le 99​ អាចបង់រំលោះបាន សំបកឪឡឹក ក្នុងលឿង ឡានស្អាត មិនមានបុកប៉ះ ទឹកថ្នាំ80%,"$6,500 ",24.0
8764155,Cars for Sale,Phnom Penh,Mitsubishi,Triton,2023.0,Tax Paper,New,Pickup,Diesel,Auto,,https://www.khmer24.com/en/cars/mitsubishi-triton-extra-plus-my23-adid-8764155.html,Mitsubishi Triton Extra Plus MY23,"$46,500 ",0.0
8801846,Cars for Sale,Phnom Penh,Toyota,Camry,2007.0,Tax Paper,Used,Sedan,Petrol,Auto,White,https://www.khmer24.com/en/cars/camry2007-le-%E1%9E%80%E1%9E%93%E1%9E%84%E1%9E%9B%E1%9E%84-%E1%9E%80%E1%9E%9A%E1%9E%8A%E1%9E%9F%E1%9E%96%E1%9E%93%E1%9E%92%E1%9E%90%E1%9E%98%E1%9F%97-%E1%9E%A1%E1%9E%93%E1%9E%9F%E1%9E%A2%E1%9E%8F-adid-8801846.html,Camry2007 LE ក្នុងលឿង ក្រដាសពន្ធថ្មីៗ ឡានស្អាត,"$20,500 ",16.0
9336247,Cars for Sale,Phnom Penh,Toyota,Land Cruiser,2003.0,Plate Number,Used,SUV,Diesel,Manual,Black,https://www.khmer24.com/en/cars/land-cruiser-03-arap-%E1%9E%A2%E1%9E%85%E1%9E%94%E1%9E%84%E1%9E%9A%E1%9E%9B%E1%9E%94%E1%9E%93-%E1%9E%98%E1%9E%9F%E1%9E%93%E1%9E%8F%E1%9E%85-%E1%9E%98%E1%9E%9F%E1%9E%93%E1%9E%9F-%E1%9E%98%E1%9E%9F%E1%9E%93%E1%9E%98%E1%9E%9F%E1%9E%8F-adid-9336247.html,Land Cruiser 03 Arap អាចបង់រំលោះបាន ម៉ាស៊ីនតូច ម៉ាស៊ីនស ម៉ាស៊ីនម៉ាស៊ូត,"$17,500 ",20.0
9333641,Cars for Sale,Phnom Penh,Toyota,Camry,2002.0,Plate Number,Used,Other,Petrol,Manual,Silver,https://www.khmer24.com/en/cars/camry-le-2002-%E1%9E%A0%E1%9E%9A%E1%9E%9C%E1%9E%84abs-%E1%9E%80%E1%9E%A2%E1%9E%85%E1%9E%85-%E1%9E%A1%E1%9E%93%E1%9E%93%E1%9E%9F%E1%9E%A2%E1%9E%8F-%E1%9E%96%E1%9E%8E%E1%9E%91%E1%9E%80%E1%9E%94%E1%9E%9A%E1%9E%80-adid-9333641.html,Camry LE 2002 ហ្រ្វាំងABS កៅអីចុច ឡាននៅស្អាត ពណ៌ទឹកប្រាក់,"$9,500 ",21.0
8687353,Cars for Sale,Phnom Penh,Lexus,RX300,1999.0,Plate Number,Used,SUV,Petrol,Manual,Green,https://www.khmer24.com/en/cars/lexus-rx300-%E1%9E%86%E1%9E%9399-%E1%9E%94%E1%9E%842-%E1%9E%9B%E1%9E%80%E1%9E%94%E1%9E%93%E1%9E%91%E1%9E%93-adid-8687353.html,Lexus RX300 ឆ្នាំ99 ប៉ុង2 លក់បន្ទាន់,"$7,500 ",24.0
